"x","y","date"
4267418,2773495,"2024-09-15"
4357015,2747419,"2020-08-22"
4508643,3157653,"2021-03-10"
4425337,3001415,"2024-02-11"
4385412,2936451,"2021-06-04"
4168799,2841005,"2021-06-20"
4186372,3323077,"2024-02-03"
4356120,2873712,"2022-06-14"
4120028,2966517,"2020-03-25"
4200081,2961678,"2020-12-21"
4291701,2791151,"2023-04-12"
4205410,3164150,"2024-10-18"
4528381,3165253,"2020-09-09"
4193310,3027387,"2023-07-14"
4120180,3264969,"2020-04-10"
4548055,3084353,"2022-09-06"
4430498,2840194,"2023-01-12"
4120165,2996340,"2024-05-09"
4373207,3463078,"2024-05-01"
4291430,2832914,"2025-03-27"
4330625,3397448,"2023-11-23"
4130640,3291840,"2024-03-31"
4455916,3405562,"2020-09-20"
4431536,3236972,"2024-05-19"
4365856,2823153,"2022-03-18"
4491526,3026415,"2022-09-01"
4586735,3139978,"2020-03-13"
4589758,3397494,"2023-04-16"
4337545,3281203,"2021-06-25"
4202093,3063015,"2024-04-27"
4312396,2892789,"2023-05-10"
4355841,2807977,"2022-11-09"
4205828,2808314,"2024-10-25"
4659912,3095893,"2025-02-20"
4208466,3107376,"2022-05-12"
4404315,3240819,"2020-12-18"
4243259,3035892,"2025-05-07"
4271706,3107982,"2025-06-17"
4231025,3378846,"2024-11-08"
4406783,3109806,"2021-09-16"
4505206,2748511,"2024-11-19"
4331812,2826174,"2023-04-21"
4045656,3101871,"2023-02-07"
4153471,3259297,"2025-06-23"
4377523,3172068,"2023-05-16"
4332174,2787417,"2025-03-22"
4398423,3379396,"2024-08-12"
4488384,3023555,"2020-07-03"
4318629,2747507,"2025-05-11"
4559170,2809203,"2021-09-10"
4498610,3300037,"2021-01-18"
4565954,3330674,"2025-01-15"
4111507,3119155,"2021-11-30"
4585119,3126545,"2020-05-26"
4184418,2999638,"2023-03-31"
4079303,3004517,"2022-11-05"
4346577,3161138,"2023-04-11"
4107640,3219706,"2025-03-30"
4301787,2766100,"2024-04-19"
4458777,2973990,"2024-09-27"
4480482,2761517,"2024-09-07"
4613153,3141502,"2022-02-02"
4544262,3431642,"2025-07-17"
4463506,3133059,"2024-03-30"
4281256,3008062,"2020-04-22"
4451284,2929063,"2023-05-19"
4082636,3137540,"2020-11-18"
4458157,3330139,"2021-04-05"
4122941,3161397,"2025-03-18"
4545327,3195852,"2023-05-15"
4237054,3251234,"2024-02-10"
4136432,3291294,"2024-11-10"
4361038,3338607,"2022-04-09"
4169076,3133184,"2024-10-09"
4320911,3342054,"2022-09-07"
4272632,3200629,"2021-08-15"
4427709,3164374,"2025-03-19"
4527737,2757207,"2023-11-03"
4487402,3098275,"2021-10-08"
4646108,3108362,"2020-09-24"
4098621,3271766,"2021-10-25"
4519216,3199931,"2024-07-20"
4486455,3045446,"2022-05-13"
4501798,3378621,"2023-09-23"
4311396,2734908,"2022-06-28"
4270553,3308328,"2024-11-25"
4294599,3360227,"2025-05-17"
4309063,3462057,"2022-02-10"
4144095,3378860,"2021-11-21"
4215505,2846807,"2021-03-06"
4353695,2905276,"2021-07-14"
4555093,3406341,"2022-05-09"
4237810,3310725,"2024-02-01"
4519628,2803140,"2025-02-27"
4494094,3352372,"2021-12-08"
4454591,3115350,"2024-03-28"
4586526,3232956,"2022-01-09"
4099333,3022706,"2020-12-19"
4179145,2919580,"2022-07-15"
4487677,3316776,"2022-10-16"
4339738,3467848,"2021-01-24"
4278457,3206128,"2022-04-24"
4300045,3145210,"2023-04-05"
4357004,3227797,"2023-10-22"
4316885,3097776,"2025-05-05"
4322270,3351518,"2021-10-21"
4501615,2758813,"2021-07-21"
4260328,2885245,"2020-05-31"
4446348,3377714,"2025-06-16"
4630798,3198724,"2022-05-18"
4140671,3118925,"2021-04-24"
4071938,3192933,"2023-08-16"
4206346,2750028,"2024-07-11"
4271626,3065405,"2021-05-29"
4093996,3118402,"2021-11-20"
4236539,3364095,"2024-05-06"
4501235,2877331,"2025-03-01"
4364135,3092719,"2021-11-05"
4518957,2826984,"2021-02-20"
4392398,3239706,"2020-09-19"
4482227,3290213,"2023-11-01"
4418607,3129085,"2022-08-15"
4297078,3221611,"2021-11-19"
4457170,3253966,"2022-08-06"
4125742,3132782,"2024-06-22"
4072534,3016504,"2021-02-21"
4317047,3128655,"2025-06-02"
4415320,3085994,"2022-11-12"
4194659,2871436,"2022-12-25"
4419413,3060218,"2021-11-08"
4403561,2972904,"2024-11-06"
4480538,3351293,"2023-03-24"
4437138,3170696,"2020-09-11"
4173562,3171359,"2024-08-16"
4285563,3237480,"2022-05-25"
4143266,3302063,"2020-03-17"
4254276,3343580,"2024-11-29"
4144269,3115758,"2023-06-26"
4414994,3143979,"2021-01-06"
4456999,3281313,"2025-07-13"
4056166,3104949,"2024-07-24"
4170499,3196432,"2022-11-29"
4525365,3322417,"2024-07-17"
4274993,3409017,"2021-04-30"
4511849,2739519,"2022-08-17"
4559399,3103388,"2024-10-11"
4102827,3050970,"2023-12-28"
4318472,3046734,"2024-07-29"
4298421,3023781,"2021-04-15"
4386918,2881386,"2021-07-28"
4300450,3456664,"2020-04-20"
4572364,3427248,"2021-07-10"
4552059,3446926,"2020-11-27"
4534485,3188974,"2021-08-02"
4502648,2901296,"2021-10-10"
4197093,2809402,"2025-04-29"
4261228,2898486,"2024-02-18"
4518321,3113506,"2021-07-27"
4380136,2985293,"2024-12-18"
4554430,3069228,"2021-10-05"
4220676,2755847,"2024-06-09"
4388734,2814541,"2021-02-03"
4286721,3154461,"2024-05-02"
4366929,3256357,"2021-04-23"
4632626,3230989,"2023-02-12"
4131573,3210558,"2023-04-09"
4529011,2831790,"2021-04-26"
4585283,3155658,"2022-08-22"
4452337,3123396,"2023-03-16"
4330958,2855534,"2025-06-01"
4267003,3118035,"2022-10-14"
4239919,3527690,"2020-06-24"
4306597,2736158,"2021-10-28"
4295576,3219321,"2024-08-17"
4225219,3205049,"2023-09-07"
4323175,2880322,"2021-04-12"
4414664,3387536,"2023-06-13"
4495382,3399487,"2021-08-11"
